input_grocery,normalized_item,match_level,product_category,typical_store_types,example_us_store_chains,match_confidence,needs_live_inventory_check,preferred_live_source,notes
milk,milk,generic,dairy,"supermarket; supercenter; warehouse club; discount grocer","Kroger-family; Walmart Supercenter; Safeway/Albertsons; Publix; Costco; Aldi",0.95,yes,"Instacart Developer Platform; Kroger API; retailer app/API","Nearly universal, but brand, fat level, organic status, and size need product-level matching."
organic whole milk,organic whole milk,generic,dairy,"supermarket; natural grocer; warehouse club","Whole Foods Market; Kroger-family; Safeway/Albertsons; Costco; Trader Joe's",0.90,yes,"Instacart Developer Platform; Kroger API; retailer app/API","Use product attributes such as organic, fat percentage, and package size."
eggs,eggs,generic,dairy_and_eggs,"supermarket; supercenter; warehouse club; farmers market; discount grocer","Kroger-family; Walmart Supercenter; Costco; Aldi; Sprouts; local farmers market",0.95,yes,"Instacart Developer Platform; retailer app/API","Availability depends on dozen count, cage-free/pasture-raised claims, and local supply."
butter,butter,generic,dairy,"supermarket; supercenter; warehouse club; natural grocer","Kroger-family; Walmart Supercenter; Target; Costco; Whole Foods Market",0.94,yes,"Instacart Developer Platform; Kroger API","Salted vs unsalted and brand matter."
cheddar cheese,cheddar cheese,generic,dairy,"supermarket; supercenter; warehouse club","Kroger-family; Walmart Supercenter; Safeway/Albertsons; Costco; Aldi",0.93,yes,"Instacart Developer Platform; Kroger API","Match on shred/block/slice, sharpness, brand, and size."
bananas,bananas,generic,produce,"supermarket; supercenter; natural grocer; discount grocer; farmers market","Kroger-family; Walmart Supercenter; Trader Joe's; Whole Foods Market; Aldi; Sprouts",0.96,yes,"Instacart Developer Platform; retailer app/API","Often sold by weight or bunch, so UPC matching may not apply."
avocados,avocados,generic,produce,"supermarket; supercenter; natural grocer; farmers market; latino market","Kroger-family; Walmart Supercenter; Whole Foods Market; Sprouts; local Mexican/Latino market",0.93,yes,"Instacart Developer Platform; retailer app/API","Size and ripeness are usually not represented well in static datasets."
cilantro,cilantro,generic,produce,"supermarket; supercenter; farmers market; latino market; asian market","Kroger-family; Walmart Supercenter; Safeway/Albertsons; local Mexican/Latino market; H Mart",0.90,yes,"Instacart Developer Platform; retailer app/API","Fresh herb availability is highly local and perishable."
romaine lettuce,romaine lettuce,generic,produce,"supermarket; supercenter; warehouse club; natural grocer","Kroger-family; Walmart Supercenter; Costco; Whole Foods Market; Aldi",0.93,yes,"Instacart Developer Platform; retailer app/API","Match head, hearts, bagged salad, or organic variant separately."
rice,white rice,generic,pantry,"supermarket; supercenter; warehouse club; asian market; indian market","Kroger-family; Walmart Supercenter; Costco; H Mart; 99 Ranch; Patel Brothers",0.94,yes,"Instacart Developer Platform; Kroger API; retailer app/API","Large bag sizes are more common at warehouse, Asian, and Indian grocery stores."
brown rice,brown rice,generic,pantry,"supermarket; supercenter; natural grocer; warehouse club","Kroger-family; Walmart Supercenter; Whole Foods Market; Costco; Trader Joe's",0.91,yes,"Instacart Developer Platform; Kroger API","Use variety and package size for better matching."
basmati rice,basmati rice,generic,pantry,"supermarket; supercenter; indian market; warehouse club","Kroger-family; Walmart Supercenter; Costco; Patel Brothers; local Indian market",0.90,yes,"Instacart Developer Platform; retailer app/API","Indian grocery stores often have deeper brand and bulk-size coverage."
pasta,pasta,generic,pantry,"supermarket; supercenter; discount grocer; warehouse club","Kroger-family; Walmart Supercenter; Target; Aldi; Costco",0.95,yes,"Instacart Developer Platform; Kroger API","Shape, brand, wheat type, and gluten-free status should be separate attributes."
gluten-free bread,gluten-free bread,generic,bakery,"supermarket; natural grocer; supercenter","Whole Foods Market; Kroger-family; Walmart Supercenter; Sprouts; Target",0.86,yes,"Instacart Developer Platform; Kroger API","Special-diet products vary strongly by store and neighborhood."
sourdough bread,sourdough bread,generic,bakery,"supermarket; bakery; natural grocer; farmers market","Kroger-family; Safeway/Albertsons; Whole Foods Market; local bakery; farmers market",0.86,yes,"Instacart Developer Platform; retailer app/API","Fresh bakery items often lack stable GTINs."
chicken breast,chicken breast,generic,meat,"supermarket; supercenter; warehouse club; butcher","Kroger-family; Walmart Supercenter; Costco; Safeway/Albertsons; local butcher",0.93,yes,"Instacart Developer Platform; retailer app/API","Match fresh/frozen, organic, boneless, skinless, and package weight."
